census_tract,hood_id,neighbourhood,dguid
5350297.02,33,Clanton Park,2016S05075350297.02
5350298.00,38,Lansing-Westgate,2016S05075350298.00
5350300.00,51,Willowdale East,2016S05075350300.00
5350301.01,53,Henry Farm,2016S05075350301.01
5350301.03,53,Henry Farm,2016S05075350301.03
5350301.04,53,Henry Farm,2016S05075350301.04
5350302.01,46,Pleasant View,2016S05075350302.01
5350302.02,46,Pleasant View,2016S05075350302.02
5350302.03,46,Pleasant View,2016S05075350302.03
5350303.00,47,Don Valley Village,2016S05075350303.00
5350304.01,47,Don Valley Village,2016S05075350304.01
5350304.02,47,Don Valley Village,2016S05075350304.02
5350304.03,52,Bayview Village,2016S05075350304.03
5350304.04,47,Don Valley Village,2016S05075350304.04
5350304.05,47,Don Valley Village,2016S05075350304.05
5350304.06,47,Don Valley Village,2016S05075350304.06
5350305.01,52,Bayview Village,2016S05075350305.01
5350306.01,51,Willowdale East,2016S05075350306.01
5350306.02,51,Willowdale East,2016S05075350306.02
5350308.02,37,Willowdale West,2016S05075350308.02
5350309.00,35,Westminster-Branson,2016S05075350309.00
5350310.01,34,Bathurst Manor,2016S05075350310.01
5350310.02,34,Bathurst Manor,2016S05075350310.02
5350311.02,27,York University Heights,2016S05075350311.02
5350311.03,27,York University Heights,2016S05075350311.03
5350311.04,27,York University Heights,2016S05075350311.04
5350311.05,27,York University Heights,2016S05075350311.05
5350311.06,27,York University Heights,2016S05075350311.06
5350312.02,25,Glenfield-Jane Heights,2016S05075350312.02
5350312.03,25,Glenfield-Jane Heights,2016S05075350312.03
5350312.04,25,Glenfield-Jane Heights,2016S05075350312.04
5350312.05,25,Glenfield-Jane Heights,2016S05075350312.05
5350312.06,25,Glenfield-Jane Heights,2016S05075350312.06
5350312.07,25,Glenfield-Jane Heights,2016S05075350312.07
5350313.00,22,Humbermede,2016S05075350313.00
5350314.01,22,Humbermede,2016S05075350314.01
5350314.02,22,Humbermede,2016S05075350314.02
5350315.01,21,Humber Summit,2016S05075350315.01
5350315.02,21,Humber Summit,2016S05075350315.02
5350315.03,21,Humber Summit,2016S05075350315.03
5350316.01,24,Black Creek,2016S05075350316.01
5350316.03,24,Black Creek,2016S05075350316.03
5350316.04,24,Black Creek,2016S05075350316.04
5350316.05,24,Black Creek,2016S05075350316.05
5350316.06,24,Black Creek,2016S05075350316.06
5350317.02,35,Westminster-Branson,2016S05075350317.02
5350317.03,35,Westminster-Branson,2016S05075350317.03
5350317.04,35,Westminster-Branson,2016S05075350317.04
5350317.05,35,Westminster-Branson,2016S05075350317.05
5350318.00,36,Newtonbrook West,2016S05075350318.00
5350319.00,36,Newtonbrook West,2016S05075350319.00
5350320.01,36,Newtonbrook West,2016S05075350320.01
5350320.02,36,Newtonbrook West,2016S05075350320.02
5350321.01,50,Newtonbrook East,2016S05075350321.01
5350321.02,50,Newtonbrook East,2016S05075350321.02
5350323.01,49,Bayview Woods-Steeles,2016S05075350323.01
5350323.02,49,Bayview Woods-Steeles,2016S05075350323.02
5350324.01,49,Bayview Woods-Steeles,2016S05075350324.01
5350324.02,48,Hillcrest Village,2016S05075350324.02
5350324.03,48,Hillcrest Village,2016S05075350324.03
5350324.05,48,Hillcrest Village,2016S05075350324.05
5350324.06,48,Hillcrest Village,2016S05075350324.06
5350330.00,140,Guildwood,2016S05075350330.00
5350331.01,140,Guildwood,2016S05075350331.01
5350331.03,139,Scarborough Village,2016S05075350331.03
5350331.04,139,Scarborough Village,2016S05075350331.04
5350332.00,139,Scarborough Village,2016S05075350332.00
5350333.00,123,Cliffcrest,2016S05075350333.00
5350334.00,123,Cliffcrest,2016S05075350334.00
5350335.00,123,Cliffcrest,2016S05075350335.00
5350336.00,122,Birchcliffe-Cliffside,2016S05075350336.00
5350338.00,122,Birchcliffe-Cliffside,2016S05075350338.00
5350339.00,122,Birchcliffe-Cliffside,2016S05075350339.00
5350340.00,120,Clairlea-Birchmount,2016S05075350340.00
5350341.02,121,Oakridge,2016S05075350341.02
5350341.03,121,Oakridge,2016S05075350341.03
5350341.04,121,Oakridge,2016S05075350341.04
5350342.00,120,Clairlea-Birchmount,2016S05075350342.00
5350343.00,120,Clairlea-Birchmount,2016S05075350343.00
5350344.01,124,Kennedy Park,2016S05075350344.01
5350344.02,124,Kennedy Park,2016S05075350344.02
5350345.00,124,Kennedy Park,2016S05075350345.00
5350346.01,124,Kennedy Park,2016S05075350346.01
5350346.02,125,Ionview,2016S05075350346.02
5350347.00,120,Clairlea-Birchmount,2016S05075350347.00
5350348.00,120,Clairlea-Birchmount,2016S05075350348.00
5350349.00,119,Wexford/Maryvale,2016S05075350349.00
5350350.00,119,Wexford/Maryvale,2016S05075350350.00
5350351.01,125,Ionview,2016S05075350351.01
5350351.02,125,Ionview,2016S05075350351.02
5350352.00,126,Dorset Park,2016S05075350352.00
5350353.02,127,Bendale,2016S05075350353.02
5350353.03,138,Eglinton East,2016S05075350353.03
5350353.04,138,Eglinton East,2016S05075350353.04
5350354.00,127,Bendale,2016S05075350354.00
5350355.02,138,Eglinton East,2016S05075350355.02
5350355.04,138,Eglinton East,2016S05075350355.04
5350356.00,137,Woburn,2016S05075350356.00
5350357.01,137,Woburn,2016S05075350357.01
5350357.02,137,Woburn,2016S05075350357.02
5350358.01,136,West Hill,2016S05075350358.01
5350358.02,136,West Hill,2016S05075350358.02
5350358.03,136,West Hill,2016S05075350358.03
5350359.00,136,West Hill,2016S05075350359.00
5350360.00,136,West Hill,2016S05075350360.00
5350361.01,133,Centennial Scarborough,2016S05075350361.01
5350361.02,133,Centennial Scarborough,2016S05075350361.02
5350362.01,131,Rouge,2016S05075350362.01
5350362.02,134,Highland Creek,2016S05075350362.02
5350362.03,134,Highland Creek,2016S05075350362.03
5350362.04,131,Rouge,2016S05075350362.04
5350363.02,135,Morningside,2016S05075350363.02
5350363.04,135,Morningside,2016S05075350363.04
5350363.05,135,Morningside,2016S05075350363.05
5350363.06,137,Woburn,2016S05075350363.06
5350363.07,137,Woburn,2016S05075350363.07
5350364.01,135,Morningside,2016S05075350364.01
5350364.02,137,Woburn,2016S05075350364.02
5350365.00,137,Woburn,2016S05075350365.00
5350366.00,137,Woburn,2016S05075350366.00
5350367.01,137,Woburn,2016S05075350367.01
5350367.02,137,Woburn,2016S05075350367.02
5350369.00,127,Bendale,2016S05075350369.00
5350370.01,126,Dorset Park,2016S05075350370.01
5350370.02,126,Dorset Park,2016S05075350370.02
5350370.03,126,Dorset Park,2016S05075350370.03
5350371.00,119,Wexford/Maryvale,2016S05075350371.00
5350372.00,119,Wexford/Maryvale,2016S05075350372.00
5350373.00,119,Wexford/Maryvale,2016S05075350373.00
5350374.01,118,Tam O'Shanter-Sullivan,2016S05075350374.01
5350374.02,118,Tam O'Shanter-Sullivan,2016S05075350374.02
5350374.03,118,Tam O'Shanter-Sullivan,2016S05075350374.03
5350375.01,117,L'Amoreaux,2016S05075350375.01
5350375.02,118,Tam O'Shanter-Sullivan,2016S05075350375.02
5350375.03,118,Tam O'Shanter-Sullivan,2016S05075350375.03
5350375.04,117,L'Amoreaux,2016S05075350375.04
5350375.05,117,L'Amoreaux,2016S05075350375.05
5350376.01,117,L'Amoreaux,2016S05075350376.01
5350376.02,117,L'Amoreaux,2016S05075350376.02
5350376.04,116,Steeles,2016S05075350376.04
5350376.05,116,Steeles,2016S05075350376.05
5350376.06,130,Milliken,2016S05075350376.06
5350376.08,117,L'Amoreaux,2016S05075350376.08
5350376.09,116,Steeles,2016S05075350376.09
5350376.11,117,L'Amoreaux,2016S05075350376.11
5350376.12,117,L'Amoreaux,2016S05075350376.12
5350376.13,116,Steeles,2016S05075350376.13
5350376.14,116,Steeles,2016S05075350376.14
5350377.01,128,Agincourt South-Malvern West,2016S05075350377.01
5350377.02,128,Agincourt South-Malvern West,2016S05075350377.02
5350377.03,129,Agincourt North,2016S05075350377.03
5350377.04,129,Agincourt North,2016S05075350377.04
5350377.06,130,Milliken,2016S05075350377.06
5350377.07,130,Milliken,2016S05075350377.07
5350378.02,128,Agincourt South-Malvern West,2016S05075350378.02
5350378.03,132,Malvern,2016S05075350378.03
5350378.04,132,Malvern,2016S05075350378.04
5350378.05,132,Malvern,2016S05075350378.05
5350378.06,132,Malvern,2016S05075350378.06
5350378.07,128,Agincourt South-Malvern West,2016S05075350378.07
5350378.08,129,Agincourt North,2016S05075350378.08
5350378.11,132,Malvern,2016S05075350378.11
5350378.12,132,Malvern,2016S05075350378.12
5350378.14,129,Agincourt North,2016S05075350378.14
5350378.16,132,Malvern,2016S05075350378.16
5350378.17,132,Malvern,2016S05075350378.17
5350378.18,130,Milliken,2016S05075350378.18
5350378.19,130,Milliken,2016S05075350378.19
5350378.20,130,Milliken,2016S05075350378.20
5350378.21,130,Milliken,2016S05075350378.21
5350378.22,130,Milliken,2016S05075350378.22
5350378.23,129,Agincourt North,2016S05075350378.23
5350378.24,129,Agincourt North,2016S05075350378.24
5350802.01,131,Rouge,2016S05075350802.01
5350802.02,131,Rouge,2016S05075350802.02
