" CT UID - Census Tract Unique Identifier
(""CMA Code""+""0""+""Census Tract ID""),
n=531","CT ID - Census Tract Identifier,
n=531","Neighb ID, 
 n=140","Neighbourhood Name,
 n=140","CPA ID,
n=46","CPA Name 
(Community Planning Area),
 n=46","Sub-LHIN ID,
n=14","Sub-LHIN Name, 
n=14","LHIN ID,
n=5","LHIN Name, 
n=5"
5350230.02,230.02,9,Edenbridge-Humber Valley,712,Kingsway Swansea,0701,West,7,Toronto Central
5350231.00,231.00,9,Edenbridge-Humber Valley,712,Kingsway Swansea,0701,West,7,Toronto Central
5350232.00,232.00,10,Princess-Rosethorn,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350233.00,233.00,10,Princess-Rosethorn,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350234.00,234.00,11,Eringate-Centennial-West Deane,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350235.01,235.01,11,Eringate-Centennial-West Deane,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350235.02,235.02,11,Eringate-Centennial-West Deane,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350236.01,236.01,13,Etobicoke West Mall,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350236.02,236.02,11,Eringate-Centennial-West Deane,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350237.01,237.01,7,Willowridge-Martingrove-Richview,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350237.02,237.02,7,Willowridge-Martingrove-Richview,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350237.03,237.03,7,Willowridge-Martingrove-Richview,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350238.01,238.01,7,Willowridge-Martingrove-Richview,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350238.02,238.02,6,Kingsview Village-The Westway,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350239.00,239.00,6,Kingsview Village-The Westway,853,Weston Humber Heights,0805,North York West,8,Central
5350240.01,240.01,7,Willowridge-Martingrove-Richview,853,Weston Humber Heights,0805,North York West,8,Central
5350240.02,240.02,8,Humber Heights-Westmount,853,Weston Humber Heights,0805,North York West,8,Central
5350241.00,241.00,8,Humber Heights-Westmount,853,Weston Humber Heights,0805,North York West,8,Central
5350242.00,242.00,8,Humber Heights-Westmount,853,Weston Humber Heights,0805,North York West,8,Central
5350243.01,243.01,6,Kingsview Village-The Westway,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350243.02,243.02,6,Kingsview Village-The Westway,563,Dixon,0506,Rexdale-Toronto,5,Central West
5350244.01,244.01,5,Elms-Old Rexdale,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350244.02,244.02,5,Elms-Old Rexdale,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350245.00,245.00,4,Rexdale-Kipling,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350246.00,246.00,4,Rexdale-Kipling,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350247.01,247.01,1,West Humber-Clairville,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350247.02,247.02,1,West Humber-Clairville,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350248.02,248.02,2,Mount Olive-Silverstone-Jamestown,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350248.03,248.03,1,West Humber-Clairville,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350248.04,248.04,1,West Humber-Clairville,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350248.05,248.05,1,West Humber-Clairville,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350249.01,249.01,2,Mount Olive-Silverstone-Jamestown,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350249.03,249.03,1,West Humber-Clairville,561,Martin Grove,0506,Rexdale-Toronto,5,Central West
5350249.04,249.04,2,Mount Olive-Silverstone-Jamestown,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350249.05,249.05,2,Mount Olive-Silverstone-Jamestown,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350250.01,250.01,3,Thistletown-Beaumond Heights,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350250.02,250.02,3,Thistletown-Beaumond Heights,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350250.04,250.04,2,Mount Olive-Silverstone-Jamestown,562,Kipling North,0805,North York West,8,Central
5350250.05,250.05,2,Mount Olive-Silverstone-Jamestown,562,Kipling North,0506,Rexdale-Toronto,5,Central West
5350260.01,260.01,44,Flemingdon Park,771,Thorncliffe Flemingdon,0707,North East,7,Toronto Central
5350260.03,260.03,44,Flemingdon Park,771,Thorncliffe Flemingdon,0707,North East,7,Toronto Central
5350260.04,260.04,44,Flemingdon Park,771,Thorncliffe Flemingdon,0707,North East,7,Toronto Central
5350260.05,260.05,44,Flemingdon Park,771,Thorncliffe Flemingdon,0707,North East,7,Toronto Central
5350261.00,261.00,43,Victoria Village,772,St. Clair O'Connor,0707,North East,7,Toronto Central
5350262.01,262.01,43,Victoria Village,872,Victoria Parkwoods,0807,North York East,8,Central
5350262.02,262.02,43,Victoria Village,872,Victoria Parkwoods,0807,North York East,8,Central
5350263.02,263.02,42,Banbury-Don Mills,864,York Mills Leslie,0806,North York Central,8,Central
5350263.03,263.03,42,Banbury-Don Mills,864,York Mills Leslie,0806,North York Central,8,Central
5350263.04,263.04,42,Banbury-Don Mills,864,York Mills Leslie,0806,North York Central,8,Central
5350264.00,264.00,41,Bridle Path-Sunnybrook-York Mills,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350265.00,265.00,41,Bridle Path-Sunnybrook-York Mills,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350266.00,266.00,41,Bridle Path-Sunnybrook-York Mills,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350267.00,267.00,42,Banbury-Don Mills,864,York Mills Leslie,0806,North York Central,8,Central
5350268.00,268.00,42,Banbury-Don Mills,864,York Mills Leslie,0806,North York Central,8,Central
5350269.01,269.01,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350269.02,269.02,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350270.01,270.01,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350270.02,270.02,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350271.01,271.01,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350271.02,271.02,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350272.01,272.01,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350272.02,272.02,45,Parkwoods-Donalda,872,Victoria Parkwoods,0807,North York East,8,Central
5350273.01,273.01,40,St.Andrew-Windfields,864,York Mills Leslie,0806,North York Central,8,Central
5350273.02,273.02,40,St.Andrew-Windfields,864,York Mills Leslie,0806,North York Central,8,Central
5350274.01,274.01,40,St.Andrew-Windfields,864,York Mills Leslie,0806,North York Central,8,Central
5350274.02,274.02,40,St.Andrew-Windfields,864,York Mills Leslie,0806,North York Central,8,Central
5350275.00,275.00,39,Bedford Park-Nortown,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350276.01,276.01,39,Bedford Park-Nortown,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350276.02,276.02,39,Bedford Park-Nortown,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350277.00,277.00,39,Bedford Park-Nortown,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350278.00,278.00,32,Englemount-Lawrence,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350279.01,279.01,31,Yorkdale-Glen Park,861,Lawrence Dufferin,0806,North York Central,8,Central
5350279.02,279.02,31,Yorkdale-Glen Park,861,Lawrence Dufferin,0806,North York Central,8,Central
5350280.00,280.00,30,Brookhaven-Amesbury,854,Keele Lawrence,0805,North York West,8,Central
5350281.01,281.01,30,Brookhaven-Amesbury,854,Keele Lawrence,0805,North York West,8,Central
5350281.02,281.02,30,Brookhaven-Amesbury,854,Keele Lawrence,0805,North York West,8,Central
5350282.00,282.00,23,Pelmo Park-Humberlea,852,Downsview Wilson,0805,North York West,8,Central
5350283.01,283.01,28,Rustic,854,Keele Lawrence,0805,North York West,8,Central
5350283.02,283.02,28,Rustic,854,Keele Lawrence,0805,North York West,8,Central
5350284.00,284.00,29,Maple Leaf,854,Keele Lawrence,0805,North York West,8,Central
5350285.00,285.00,29,Maple Leaf,854,Keele Lawrence,0805,North York West,8,Central
5350286.00,286.00,31,Yorkdale-Glen Park,861,Lawrence Dufferin,0806,North York Central,8,Central
5350287.01,287.01,32,Englemount-Lawrence,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350287.02,287.02,32,Englemount-Lawrence,744,Yonge Lawrence,0704,North Toronto,7,Toronto Central
5350288.00,288.00,33,Clanton Park,865,Bathurst Sheppard,0806,North York Central,8,Central
5350289.00,289.00,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350290.00,290.00,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350291.01,291.01,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350291.02,291.02,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350292.00,292.00,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350293.00,293.00,23,Pelmo Park-Humberlea,852,Downsview Wilson,0805,North York West,8,Central
5350294.01,294.01,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350294.02,294.02,25,Glenfield-Jane Heights,851,Jane Finch,0805,North York West,8,Central
5350295.00,295.00,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350296.00,296.00,26,Downsview-Roding-CFB,852,Downsview Wilson,0805,North York West,8,Central
5350297.01,297.01,34,Bathurst Manor,865,Bathurst Sheppard,0806,North York Central,8,Central
5350297.02,297.02,33,Clanton Park,865,Bathurst Sheppard,0806,North York Central,8,Central
5350298.00,298.00,38,Lansing-Westgate,865,Bathurst Sheppard,0806,North York Central,8,Central
5350299.00,299.00,38,Lansing-Westgate,865,Bathurst Sheppard,0806,North York Central,8,Central
5350300.00,300.00,51,Willowdale East,862,Willowdale,0806,North York Central,8,Central
5350301.01,301.01,53,Henry Farm,871,Don Mills Finch,0807,North York East,8,Central
5350301.03,301.03,53,Henry Farm,871,Don Mills Finch,0807,North York East,8,Central
5350301.04,301.04,53,Henry Farm,871,Don Mills Finch,0807,North York East,8,Central
5350302.01,302.01,46,Pleasant View,871,Don Mills Finch,0807,North York East,8,Central
5350302.02,302.02,46,Pleasant View,871,Don Mills Finch,0807,North York East,8,Central
5350302.03,302.03,46,Pleasant View,871,Don Mills Finch,0807,North York East,8,Central
5350303.00,303.00,47,Don Valley Village,871,Don Mills Finch,0807,North York East,8,Central
5350304.01,304.01,47,Don Valley Village,871,Don Mills Finch,0807,North York East,8,Central
5350304.02,304.02,47,Don Valley Village,871,Don Mills Finch,0807,North York East,8,Central
5350304.03,304.03,52,Bayview Village,863,Bayview Finch,0806,North York Central,8,Central
5350304.04,304.04,47,Don Valley Village,871,Don Mills Finch,0807,North York East,8,Central
5350304.05,304.05,47,Don Valley Village,871,Don Mills Finch,0807,North York East,8,Central
5350304.06,304.06,47,Don Valley Village,871,Don Mills Finch,0807,North York East,8,Central
5350305.01,305.01,52,Bayview Village,863,Bayview Finch,0806,North York Central,8,Central
5350305.02,305.02,52,Bayview Village,863,Bayview Finch,0806,North York Central,8,Central
5350306.01,306.01,51,Willowdale East,862,Willowdale,0806,North York Central,8,Central
5350306.02,306.02,51,Willowdale East,862,Willowdale,0806,North York Central,8,Central
5350307.01,307.01,51,Willowdale East,862,Willowdale,0806,North York Central,8,Central
5350307.02,307.02,51,Willowdale East,862,Willowdale,0806,North York Central,8,Central
5350308.01,308.01,37,Willowdale West,865,Bathurst Sheppard,0806,North York Central,8,Central
5350308.02,308.02,37,Willowdale West,865,Bathurst Sheppard,0806,North York Central,8,Central
5350309.00,309.00,35,Westminster-Branson,862,Willowdale,0806,North York Central,8,Central
5350310.01,310.01,34,Bathurst Manor,865,Bathurst Sheppard,0806,North York Central,8,Central
5350310.02,310.02,34,Bathurst Manor,865,Bathurst Sheppard,0806,North York Central,8,Central
5350311.02,311.02,27,York University Heights,852,Downsview Wilson,0805,North York West,8,Central
5350311.03,311.03,27,York University Heights,852,Downsview Wilson,0805,North York West,8,Central
5350311.04,311.04,27,York University Heights,852,Downsview Wilson,0805,North York West,8,Central
5350311.05,311.05,27,York University Heights,852,Downsview Wilson,0805,North York West,8,Central
5350311.06,311.06,27,York University Heights,852,Downsview Wilson,0805,North York West,8,Central
5350312.02,312.02,25,Glenfield-Jane Heights,851,Jane Finch,0805,North York West,8,Central
5350312.03,312.03,25,Glenfield-Jane Heights,851,Jane Finch,0805,North York West,8,Central
5350312.04,312.04,25,Glenfield-Jane Heights,851,Jane Finch,0805,North York West,8,Central
